au_id,title_id,pub_id,price,stor_id,qty,job_id,emp_id
213-46-8915,BU1032,1389,20,8042,10,10,A-C71970F
409-56-7008,BU1032,1389,20,8042,10,10,A-C71970F
267-41-2394,BU1111,1389,12,8042,25,10,A-C71970F
724-80-9391,BU1111,1389,12,8042,25,10,A-C71970F
238-95-7766,PC1035,1389,23,8042,30,10,A-C71970F
807-91-6654,TC3218,0877,21,7067,40,8,ARD36773F
648-92-1872,TC4203,0877,12,7067,20,8,ARD36773F
267-41-2394,TC7777,0877,15,7067,20,8,ARD36773F
472-27-2349,TC7777,0877,15,7067,20,8,ARD36773F
672-71-3249,TC7777,0877,15,7067,20,8,ARD36773F
722-51-5454,MC3021,0877,3,7131,25,8,ARD36773F
899-46-2035,MC3021,0877,3,7131,25,8,ARD36773F
724-80-9391,PS1372,0877,22,7131,20,8,ARD36773F
756-30-7391,PS1372,0877,22,7131,20,8,ARD36773F
712-45-1867,MC2222,0877,20,7896,10,8,ARD36773F
722-51-5454,MC3021,0877,3,8042,15,8,ARD36773F
899-46-2035,MC3021,0877,3,8042,15,8,ARD36773F
807-91-6654,TC3218,0877,21,7067,40,10,PHF38899M
648-92-1872,TC4203,0877,12,7067,20,10,PHF38899M
267-41-2394,TC7777,0877,15,7067,20,10,PHF38899M
472-27-2349,TC7777,0877,15,7067,20,10,PHF38899M
672-71-3249,TC7777,0877,15,7067,20,10,PHF38899M
722-51-5454,MC3021,0877,3,7131,25,10,PHF38899M
899-46-2035,MC3021,0877,3,7131,25,10,PHF38899M
724-80-9391,PS1372,0877,22,7131,20,10,PHF38899M
756-30-7391,PS1372,0877,22,7131,20,10,PHF38899M
712-45-1867,MC2222,0877,20,7896,10,10,PHF38899M
722-51-5454,MC3021,0877,3,8042,15,10,PHF38899M
899-46-2035,MC3021,0877,3,8042,15,10,PHF38899M
807-91-6654,TC3218,0877,21,7067,40,5,PXH22250M
648-92-1872,TC4203,0877,12,7067,20,5,PXH22250M
267-41-2394,TC7777,0877,15,7067,20,5,PXH22250M
472-27-2349,TC7777,0877,15,7067,20,5,PXH22250M
672-71-3249,TC7777,0877,15,7067,20,5,PXH22250M
722-51-5454,MC3021,0877,3,7131,25,5,PXH22250M
899-46-2035,MC3021,0877,3,7131,25,5,PXH22250M
724-80-9391,PS1372,0877,22,7131,20,5,PXH22250M
756-30-7391,PS1372,0877,22,7131,20,5,PXH22250M
712-45-1867,MC2222,0877,20,7896,10,5,PXH22250M
722-51-5454,MC3021,0877,3,8042,15,5,PXH22250M
899-46-2035,MC3021,0877,3,8042,15,5,PXH22250M
899-46-2035,PS2091,0736,11,6380,3,7,PDI47470M
998-72-3567,PS2091,0736,11,6380,3,7,PDI47470M
899-46-2035,PS2091,0736,11,7066,75,7,PDI47470M
998-72-3567,PS2091,0736,11,7066,75,7,PDI47470M
899-46-2035,PS2091,0736,11,7067,10,7,PDI47470M
998-72-3567,PS2091,0736,11,7067,10,7,PDI47470M
899-46-2035,PS2091,0736,11,7131,20,7,PDI47470M
998-72-3567,PS2091,0736,11,7131,20,7,PDI47470M
998-72-3567,PS2106,0736,7,7131,25,7,PDI47470M
172-32-1176,PS3333,0736,20,7131,15,7,PDI47470M
486-29-1786,PS7777,0736,8,7131,25,7,PDI47470M
213-46-8915,BU2075,0736,3,7896,35,7,PDI47470M
899-46-2035,PS2091,0736,11,6380,3,14,KFJ64308F
998-72-3567,PS2091,0736,11,6380,3,14,KFJ64308F
899-46-2035,PS2091,0736,11,7066,75,14,KFJ64308F
998-72-3567,PS2091,0736,11,7066,75,14,KFJ64308F
899-46-2035,PS2091,0736,11,7067,10,14,KFJ64308F
998-72-3567,PS2091,0736,11,7067,10,14,KFJ64308F
899-46-2035,PS2091,0736,11,7131,20,14,KFJ64308F
998-72-3567,PS2091,0736,11,7131,20,14,KFJ64308F
998-72-3567,PS2106,0736,7,7131,25,14,KFJ64308F
172-32-1176,PS3333,0736,20,7131,15,14,KFJ64308F
486-29-1786,PS7777,0736,8,7131,25,14,KFJ64308F
213-46-8915,BU2075,0736,3,7896,35,14,KFJ64308F
899-46-2035,PS2091,0736,11,6380,3,6,MGK44605M
998-72-3567,PS2091,0736,11,6380,3,6,MGK44605M
899-46-2035,PS2091,0736,11,7066,75,6,MGK44605M
998-72-3567,PS2091,0736,11,7066,75,6,MGK44605M
899-46-2035,PS2091,0736,11,7067,10,6,MGK44605M
998-72-3567,PS2091,0736,11,7067,10,6,MGK44605M
899-46-2035,PS2091,0736,11,7131,20,6,MGK44605M
998-72-3567,PS2091,0736,11,7131,20,6,MGK44605M
998-72-3567,PS2106,0736,7,7131,25,6,MGK44605M
172-32-1176,PS3333,0736,20,7131,15,6,MGK44605M
486-29-1786,PS7777,0736,8,7131,25,6,MGK44605M
213-46-8915,BU2075,0736,3,7896,35,6,MGK44605M
213-46-8915,BU1032,1389,20,6380,5,7,M-L67958F
409-56-7008,BU1032,1389,20,6380,5,7,M-L67958F
427-17-2319,PC8888,1389,20,7066,50,7,M-L67958F
846-92-7186,PC8888,1389,20,7066,50,7,M-L67958F
274-80-9391,BU7832,1389,20,7896,15,7,M-L67958F
213-46-8915,BU1032,1389,20,8042,10,7,M-L67958F
409-56-7008,BU1032,1389,20,8042,10,7,M-L67958F
267-41-2394,BU1111,1389,12,8042,25,7,M-L67958F
724-80-9391,BU1111,1389,12,8042,25,7,M-L67958F
238-95-7766,PC1035,1389,23,8042,30,7,M-L67958F
213-46-8915,BU1032,1389,20,6380,5,12,Y-L77953M
409-56-7008,BU1032,1389,20,6380,5,12,Y-L77953M
427-17-2319,PC8888,1389,20,7066,50,12,Y-L77953M
846-92-7186,PC8888,1389,20,7066,50,12,Y-L77953M
274-80-9391,BU7832,1389,20,7896,15,12,Y-L77953M
213-46-8915,BU1032,1389,20,8042,10,12,Y-L77953M
409-56-7008,BU1032,1389,20,8042,10,12,Y-L77953M
267-41-2394,BU1111,1389,12,8042,25,12,Y-L77953M
724-80-9391,BU1111,1389,12,8042,25,12,Y-L77953M
238-95-7766,PC1035,1389,23,8042,30,12,Y-L77953M
899-46-2035,PS2091,0736,11,6380,3,5,LAL21447M
998-72-3567,PS2091,0736,11,6380,3,5,LAL21447M
899-46-2035,PS2091,0736,11,7066,75,5,LAL21447M
998-72-3567,PS2091,0736,11,7066,75,5,LAL21447M
899-46-2035,PS2091,0736,11,7067,10,5,LAL21447M
998-72-3567,PS2091,0736,11,7067,10,5,LAL21447M
899-46-2035,PS2091,0736,11,7131,20,5,LAL21447M
998-72-3567,PS2091,0736,11,7131,20,5,LAL21447M
998-72-3567,PS2106,0736,7,7131,25,5,LAL21447M
172-32-1176,PS3333,0736,20,7131,15,5,LAL21447M
486-29-1786,PS7777,0736,8,7131,25,5,LAL21447M
213-46-8915,BU2075,0736,3,7896,35,5,LAL21447M
807-91-6654,TC3218,0877,21,7067,40,14,ENL44273F
648-92-1872,TC4203,0877,12,7067,20,14,ENL44273F
267-41-2394,TC7777,0877,15,7067,20,14,ENL44273F
472-27-2349,TC7777,0877,15,7067,20,14,ENL44273F
672-71-3249,TC7777,0877,15,7067,20,14,ENL44273F
722-51-5454,MC3021,0877,3,7131,25,14,ENL44273F
899-46-2035,MC3021,0877,3,7131,25,14,ENL44273F
724-80-9391,PS1372,0877,22,7131,20,14,ENL44273F
756-30-7391,PS1372,0877,22,7131,20,14,ENL44273F
712-45-1867,MC2222,0877,20,7896,10,14,ENL44273F
722-51-5454,MC3021,0877,3,8042,15,14,ENL44273F
899-46-2035,MC3021,0877,3,8042,15,14,ENL44273F
899-46-2035,PS2091,0736,11,6380,3,11,R-M53550M
998-72-3567,PS2091,0736,11,6380,3,11,R-M53550M
899-46-2035,PS2091,0736,11,7066,75,11,R-M53550M
998-72-3567,PS2091,0736,11,7066,75,11,R-M53550M
899-46-2035,PS2091,0736,11,7067,10,11,R-M53550M
998-72-3567,PS2091,0736,11,7067,10,11,R-M53550M
899-46-2035,PS2091,0736,11,7131,20,11,R-M53550M
998-72-3567,PS2091,0736,11,7131,20,11,R-M53550M
998-72-3567,PS2106,0736,7,7131,25,11,R-M53550M
172-32-1176,PS3333,0736,20,7131,15,11,R-M53550M
486-29-1786,PS7777,0736,8,7131,25,11,R-M53550M
213-46-8915,BU2075,0736,3,7896,35,11,R-M53550M
899-46-2035,PS2091,0736,11,6380,3,13,TPO55093M
998-72-3567,PS2091,0736,11,6380,3,13,TPO55093M
899-46-2035,PS2091,0736,11,7066,75,13,TPO55093M
998-72-3567,PS2091,0736,11,7066,75,13,TPO55093M
899-46-2035,PS2091,0736,11,7067,10,13,TPO55093M
998-72-3567,PS2091,0736,11,7067,10,13,TPO55093M
899-46-2035,PS2091,0736,11,7131,20,13,TPO55093M
998-72-3567,PS2091,0736,11,7131,20,13,TPO55093M
998-72-3567,PS2106,0736,7,7131,25,13,TPO55093M
172-32-1176,PS3333,0736,20,7131,15,13,TPO55093M
486-29-1786,PS7777,0736,8,7131,25,13,TPO55093M
213-46-8915,BU2075,0736,3,7896,35,13,TPO55093M
213-46-8915,BU1032,1389,20,6380,5,5,SKO22412M
409-56-7008,BU1032,1389,20,6380,5,5,SKO22412M
427-17-2319,PC8888,1389,20,7066,50,5,SKO22412M
846-92-7186,PC8888,1389,20,7066,50,5,SKO22412M
274-80-9391,BU7832,1389,20,7896,15,5,SKO22412M
213-46-8915,BU1032,1389,20,8042,10,5,SKO22412M
409-56-7008,BU1032,1389,20,8042,10,5,SKO22412M
267-41-2394,BU1111,1389,12,8042,25,5,SKO22412M
724-80-9391,BU1111,1389,12,8042,25,5,SKO22412M
238-95-7766,PC1035,1389,23,8042,30,5,SKO22412M
213-46-8915,BU1032,1389,20,6380,5,11,MAP77183M
409-56-7008,BU1032,1389,20,6380,5,11,MAP77183M
427-17-2319,PC8888,1389,20,7066,50,11,MAP77183M
846-92-7186,PC8888,1389,20,7066,50,11,MAP77183M
274-80-9391,BU7832,1389,20,7896,15,11,MAP77183M
213-46-8915,BU1032,1389,20,8042,10,11,MAP77183M
409-56-7008,BU1032,1389,20,8042,10,11,MAP77183M
267-41-2394,BU1111,1389,12,8042,25,11,MAP77183M
724-80-9391,BU1111,1389,12,8042,25,11,MAP77183M
238-95-7766,PC1035,1389,23,8042,30,11,MAP77183M
213-46-8915,BU1032,1389,20,6380,5,8,PSP68661F
409-56-7008,BU1032,1389,20,6380,5,8,PSP68661F
427-17-2319,PC8888,1389,20,7066,50,8,PSP68661F
846-92-7186,PC8888,1389,20,7066,50,8,PSP68661F
274-80-9391,BU7832,1389,20,7896,15,8,PSP68661F
213-46-8915,BU1032,1389,20,8042,10,8,PSP68661F
409-56-7008,BU1032,1389,20,8042,10,8,PSP68661F
267-41-2394,BU1111,1389,12,8042,25,8,PSP68661F
724-80-9391,BU1111,1389,12,8042,25,8,PSP68661F
238-95-7766,PC1035,1389,23,8042,30,8,PSP68661F
807-91-6654,TC3218,0877,21,7067,40,9,M-R38834F
648-92-1872,TC4203,0877,12,7067,20,9,M-R38834F
267-41-2394,TC7777,0877,15,7067,20,9,M-R38834F
472-27-2349,TC7777,0877,15,7067,20,9,M-R38834F
672-71-3249,TC7777,0877,15,7067,20,9,M-R38834F
722-51-5454,MC3021,0877,3,7131,25,9,M-R38834F
899-46-2035,MC3021,0877,3,7131,25,9,M-R38834F
724-80-9391,PS1372,0877,22,7131,20,9,M-R38834F
756-30-7391,PS1372,0877,22,7131,20,9,M-R38834F
712-45-1867,MC2222,0877,20,7896,10,9,M-R38834F
722-51-5454,MC3021,0877,3,8042,15,9,M-R38834F
899-46-2035,MC3021,0877,3,8042,15,9,M-R38834F
213-46-8915,BU1032,1389,20,6380,5,6,DWR65030M
409-56-7008,BU1032,1389,20,6380,5,6,DWR65030M
427-17-2319,PC8888,1389,20,7066,50,6,DWR65030M
846-92-7186,PC8888,1389,20,7066,50,6,DWR65030M
274-80-9391,BU7832,1389,20,7896,15,6,DWR65030M
213-46-8915,BU1032,1389,20,8042,10,6,DWR65030M
409-56-7008,BU1032,1389,20,8042,10,6,DWR65030M
267-41-2394,BU1111,1389,12,8042,25,6,DWR65030M
724-80-9391,BU1111,1389,12,8042,25,6,DWR65030M
238-95-7766,PC1035,1389,23,8042,30,6,DWR65030M
899-46-2035,PS2091,0736,11,6380,3,8,MMS49649F
998-72-3567,PS2091,0736,11,6380,3,8,MMS49649F
899-46-2035,PS2091,0736,11,7066,75,8,MMS49649F
998-72-3567,PS2091,0736,11,7066,75,8,MMS49649F
899-46-2035,PS2091,0736,11,7067,10,8,MMS49649F
998-72-3567,PS2091,0736,11,7067,10,8,MMS49649F
899-46-2035,PS2091,0736,11,7131,20,8,MMS49649F
998-72-3567,PS2091,0736,11,7131,20,8,MMS49649F
998-72-3567,PS2106,0736,7,7131,25,8,MMS49649F
172-32-1176,PS3333,0736,20,7131,15,8,MMS49649F
486-29-1786,PS7777,0736,8,7131,25,8,MMS49649F
213-46-8915,BU2075,0736,3,7896,35,8,MMS49649F
213-46-8915,BU1032,1389,20,6380,5,13,CGS88322F
409-56-7008,BU1032,1389,20,6380,5,13,CGS88322F
427-17-2319,PC8888,1389,20,7066,50,13,CGS88322F
846-92-7186,PC8888,1389,20,7066,50,13,CGS88322F
274-80-9391,BU7832,1389,20,7896,15,13,CGS88322F
213-46-8915,BU1032,1389,20,8042,10,13,CGS88322F
409-56-7008,BU1032,1389,20,8042,10,13,CGS88322F
267-41-2394,BU1111,1389,12,8042,25,13,CGS88322F
724-80-9391,BU1111,1389,12,8042,25,13,CGS88322F
238-95-7766,PC1035,1389,23,8042,30,13,CGS88322F
213-46-8915,BU1032,1389,20,6380,5,9,MAS70474F
409-56-7008,BU1032,1389,20,6380,5,9,MAS70474F
427-17-2319,PC8888,1389,20,7066,50,9,MAS70474F
846-92-7186,PC8888,1389,20,7066,50,9,MAS70474F
274-80-9391,BU7832,1389,20,7896,15,9,MAS70474F
213-46-8915,BU1032,1389,20,8042,10,9,MAS70474F
409-56-7008,BU1032,1389,20,8042,10,9,MAS70474F
267-41-2394,BU1111,1389,12,8042,25,9,MAS70474F
724-80-9391,BU1111,1389,12,8042,25,9,MAS70474F
238-95-7766,PC1035,1389,23,8042,30,9,MAS70474F
899-46-2035,PS2091,0736,11,6380,3,12,HAS54740M
998-72-3567,PS2091,0736,11,6380,3,12,HAS54740M
899-46-2035,PS2091,0736,11,7066,75,12,HAS54740M
998-72-3567,PS2091,0736,11,7066,75,12,HAS54740M
899-46-2035,PS2091,0736,11,7067,10,12,HAS54740M
998-72-3567,PS2091,0736,11,7067,10,12,HAS54740M
899-46-2035,PS2091,0736,11,7131,20,12,HAS54740M
998-72-3567,PS2091,0736,11,7131,20,12,HAS54740M
998-72-3567,PS2106,0736,7,7131,25,12,HAS54740M
172-32-1176,PS3333,0736,20,7131,15,12,HAS54740M
486-29-1786,PS7777,0736,8,7131,25,12,HAS54740M
213-46-8915,BU2075,0736,3,7896,35,12,HAS54740M
899-46-2035,PS2091,0736,11,6380,3,10,MFS52347M
998-72-3567,PS2091,0736,11,6380,3,10,MFS52347M
899-46-2035,PS2091,0736,11,7066,75,10,MFS52347M
998-72-3567,PS2091,0736,11,7066,75,10,MFS52347M
899-46-2035,PS2091,0736,11,7067,10,10,MFS52347M
998-72-3567,PS2091,0736,11,7067,10,10,MFS52347M
899-46-2035,PS2091,0736,11,7131,20,10,MFS52347M
998-72-3567,PS2091,0736,11,7131,20,10,MFS52347M
998-72-3567,PS2106,0736,7,7131,25,10,MFS52347M
172-32-1176,PS3333,0736,20,7131,15,10,MFS52347M
486-29-1786,PS7777,0736,8,7131,25,10,MFS52347M
213-46-8915,BU2075,0736,3,7896,35,10,MFS52347M
899-46-2035,PS2091,0736,11,6380,3,9,GHT50241M
998-72-3567,PS2091,0736,11,6380,3,9,GHT50241M
899-46-2035,PS2091,0736,11,7066,75,9,GHT50241M
998-72-3567,PS2091,0736,11,7066,75,9,GHT50241M
899-46-2035,PS2091,0736,11,7067,10,9,GHT50241M
998-72-3567,PS2091,0736,11,7067,10,9,GHT50241M
899-46-2035,PS2091,0736,11,7131,20,9,GHT50241M
998-72-3567,PS2091,0736,11,7131,20,9,GHT50241M
998-72-3567,PS2106,0736,7,7131,25,9,GHT50241M
172-32-1176,PS3333,0736,20,7131,15,9,GHT50241M
486-29-1786,PS7777,0736,8,7131,25,9,GHT50241M
213-46-8915,BU2075,0736,3,7896,35,9,GHT50241M
807-91-6654,TC3218,0877,21,7067,40,11,DBT39435M
648-92-1872,TC4203,0877,12,7067,20,11,DBT39435M
267-41-2394,TC7777,0877,15,7067,20,11,DBT39435M
472-27-2349,TC7777,0877,15,7067,20,11,DBT39435M
672-71-3249,TC7777,0877,15,7067,20,11,DBT39435M
722-51-5454,MC3021,0877,3,7131,25,11,DBT39435M
899-46-2035,MC3021,0877,3,7131,25,11,DBT39435M
724-80-9391,PS1372,0877,22,7131,20,11,DBT39435M
756-30-7391,PS1372,0877,22,7131,20,11,DBT39435M
712-45-1867,MC2222,0877,20,7896,10,11,DBT39435M
722-51-5454,MC3021,0877,3,8042,15,11,DBT39435M
899-46-2035,MC3021,0877,3,8042,15,11,DBT39435M
