title,type,pub_id,price,advance,royalty,ytd_sales,notes,pubdate,lorange,hirange,au_id
Cooking with Computers: Surreptitious Balance Sheets,business    ,1389,11.9500,5000.0000,10,3876,Helpful hints on how to use your electronic resources to the best advantage.,1991-06-09T00:00:00.000+0000,8001,10000,724-80-9391
Cooking with Computers: Surreptitious Balance Sheets,business    ,1389,11.9500,5000.0000,10,3876,Helpful hints on how to use your electronic resources to the best advantage.,1991-06-09T00:00:00.000+0000,12001,16000,724-80-9391
Cooking with Computers: Surreptitious Balance Sheets,business    ,1389,11.9500,5000.0000,10,3876,Helpful hints on how to use your electronic resources to the best advantage.,1991-06-09T00:00:00.000+0000,16001,20000,724-80-9391
Cooking with Computers: Surreptitious Balance Sheets,business    ,1389,11.9500,5000.0000,10,3876,Helpful hints on how to use your electronic resources to the best advantage.,1991-06-09T00:00:00.000+0000,20001,24000,724-80-9391
Cooking with Computers: Surreptitious Balance Sheets,business    ,1389,11.9500,5000.0000,10,3876,Helpful hints on how to use your electronic resources to the best advantage.,1991-06-09T00:00:00.000+0000,24001,28000,724-80-9391
Cooking with Computers: Surreptitious Balance Sheets,business    ,1389,11.9500,5000.0000,10,3876,Helpful hints on how to use your electronic resources to the best advantage.,1991-06-09T00:00:00.000+0000,28001,50000,724-80-9391
You Can Combat Computer Stress!,business    ,0736,2.9900,10125.0000,24,18722,The latest medical and psychological techniques for living with the electronic office. Easy-to-understand explanations.,1991-06-30T00:00:00.000+0000,0,1000,213-46-8915
You Can Combat Computer Stress!,business    ,0736,2.9900,10125.0000,24,18722,The latest medical and psychological techniques for living with the electronic office. Easy-to-understand explanations.,1991-06-30T00:00:00.000+0000,1001,3000,213-46-8915
You Can Combat Computer Stress!,business    ,0736,2.9900,10125.0000,24,18722,The latest medical and psychological techniques for living with the electronic office. Easy-to-understand explanations.,1991-06-30T00:00:00.000+0000,3001,5000,213-46-8915
You Can Combat Computer Stress!,business    ,0736,2.9900,10125.0000,24,18722,The latest medical and psychological techniques for living with the electronic office. Easy-to-understand explanations.,1991-06-30T00:00:00.000+0000,5001,7000,213-46-8915
You Can Combat Computer Stress!,business    ,0736,2.9900,10125.0000,24,18722,The latest medical and psychological techniques for living with the electronic office. Easy-to-understand explanations.,1991-06-30T00:00:00.000+0000,7001,10000,213-46-8915
You Can Combat Computer Stress!,business    ,0736,2.9900,10125.0000,24,18722,The latest medical and psychological techniques for living with the electronic office. Easy-to-understand explanations.,1991-06-30T00:00:00.000+0000,10001,12000,213-46-8915
You Can Combat Computer Stress!,business    ,0736,2.9900,10125.0000,24,18722,The latest medical and psychological techniques for living with the electronic office. Easy-to-understand explanations.,1991-06-30T00:00:00.000+0000,12001,14000,213-46-8915
You Can Combat Computer Stress!,business    ,0736,2.9900,10125.0000,24,18722,The latest medical and psychological techniques for living with the electronic office. Easy-to-understand explanations.,1991-06-30T00:00:00.000+0000,14001,50000,213-46-8915
Straight Talk About Computers,business    ,1389,19.9900,5000.0000,10,4095,Annotated analysis of what computers can do for you: a no-hype guide for the critical user.,1991-06-22T00:00:00.000+0000,0,5000,274-80-9391
Straight Talk About Computers,business    ,1389,19.9900,5000.0000,10,4095,Annotated analysis of what computers can do for you: a no-hype guide for the critical user.,1991-06-22T00:00:00.000+0000,5001,10000,274-80-9391
Straight Talk About Computers,business    ,1389,19.9900,5000.0000,10,4095,Annotated analysis of what computers can do for you: a no-hype guide for the critical user.,1991-06-22T00:00:00.000+0000,10001,15000,274-80-9391
Straight Talk About Computers,business    ,1389,19.9900,5000.0000,10,4095,Annotated analysis of what computers can do for you: a no-hype guide for the critical user.,1991-06-22T00:00:00.000+0000,15001,20000,274-80-9391
Straight Talk About Computers,business    ,1389,19.9900,5000.0000,10,4095,Annotated analysis of what computers can do for you: a no-hype guide for the critical user.,1991-06-22T00:00:00.000+0000,20001,25000,274-80-9391
Straight Talk About Computers,business    ,1389,19.9900,5000.0000,10,4095,Annotated analysis of what computers can do for you: a no-hype guide for the critical user.,1991-06-22T00:00:00.000+0000,25001,30000,274-80-9391
Straight Talk About Computers,business    ,1389,19.9900,5000.0000,10,4095,Annotated analysis of what computers can do for you: a no-hype guide for the critical user.,1991-06-22T00:00:00.000+0000,30001,35000,274-80-9391
Straight Talk About Computers,business    ,1389,19.9900,5000.0000,10,4095,Annotated analysis of what computers can do for you: a no-hype guide for the critical user.,1991-06-22T00:00:00.000+0000,35001,50000,274-80-9391
Silicon Valley Gastronomic Treats,mod_cook    ,0877,19.9900,0.0000,12,2032,"Favorite recipes for quick, easy, and elegant meals.",1991-06-09T00:00:00.000+0000,0,2000,712-45-1867
Silicon Valley Gastronomic Treats,mod_cook    ,0877,19.9900,0.0000,12,2032,"Favorite recipes for quick, easy, and elegant meals.",1991-06-09T00:00:00.000+0000,2001,4000,712-45-1867
Silicon Valley Gastronomic Treats,mod_cook    ,0877,19.9900,0.0000,12,2032,"Favorite recipes for quick, easy, and elegant meals.",1991-06-09T00:00:00.000+0000,4001,8000,712-45-1867
Silicon Valley Gastronomic Treats,mod_cook    ,0877,19.9900,0.0000,12,2032,"Favorite recipes for quick, easy, and elegant meals.",1991-06-09T00:00:00.000+0000,8001,12000,712-45-1867
Silicon Valley Gastronomic Treats,mod_cook    ,0877,19.9900,0.0000,12,2032,"Favorite recipes for quick, easy, and elegant meals.",1991-06-09T00:00:00.000+0000,12001,20000,712-45-1867
Silicon Valley Gastronomic Treats,mod_cook    ,0877,19.9900,0.0000,12,2032,"Favorite recipes for quick, easy, and elegant meals.",1991-06-09T00:00:00.000+0000,20001,50000,712-45-1867
The Gourmet Microwave,mod_cook    ,0877,2.9900,15000.0000,24,22246,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18T00:00:00.000+0000,0,1000,722-51-5454
The Gourmet Microwave,mod_cook    ,0877,2.9900,15000.0000,24,22246,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18T00:00:00.000+0000,1001,2000,722-51-5454
The Gourmet Microwave,mod_cook    ,0877,2.9900,15000.0000,24,22246,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18T00:00:00.000+0000,2001,4000,722-51-5454
The Gourmet Microwave,mod_cook    ,0877,2.9900,15000.0000,24,22246,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18T00:00:00.000+0000,4001,6000,722-51-5454
The Gourmet Microwave,mod_cook    ,0877,2.9900,15000.0000,24,22246,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18T00:00:00.000+0000,6001,8000,722-51-5454
The Gourmet Microwave,mod_cook    ,0877,2.9900,15000.0000,24,22246,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18T00:00:00.000+0000,8001,10000,722-51-5454
The Gourmet Microwave,mod_cook    ,0877,2.9900,15000.0000,24,22246,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18T00:00:00.000+0000,10001,12000,722-51-5454
The Gourmet Microwave,mod_cook    ,0877,2.9900,15000.0000,24,22246,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18T00:00:00.000+0000,12001,50000,722-51-5454
The Gourmet Microwave,mod_cook    ,0877,2.9900,15000.0000,24,22246,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18T00:00:00.000+0000,0,1000,899-46-2035
The Gourmet Microwave,mod_cook    ,0877,2.9900,15000.0000,24,22246,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18T00:00:00.000+0000,1001,2000,899-46-2035
The Gourmet Microwave,mod_cook    ,0877,2.9900,15000.0000,24,22246,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18T00:00:00.000+0000,2001,4000,899-46-2035
The Gourmet Microwave,mod_cook    ,0877,2.9900,15000.0000,24,22246,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18T00:00:00.000+0000,4001,6000,899-46-2035
The Gourmet Microwave,mod_cook    ,0877,2.9900,15000.0000,24,22246,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18T00:00:00.000+0000,6001,8000,899-46-2035
The Gourmet Microwave,mod_cook    ,0877,2.9900,15000.0000,24,22246,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18T00:00:00.000+0000,8001,10000,899-46-2035
The Gourmet Microwave,mod_cook    ,0877,2.9900,15000.0000,24,22246,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18T00:00:00.000+0000,10001,12000,899-46-2035
The Gourmet Microwave,mod_cook    ,0877,2.9900,15000.0000,24,22246,Traditional French gourmet recipes adapted for modern microwave cooking.,1991-06-18T00:00:00.000+0000,12001,50000,899-46-2035
But Is It User Friendly?,popular_comp,1389,22.9500,7000.0000,16,8780,"A survey of software for the naive user, focusing on the 'friendliness' of each.",1991-06-30T00:00:00.000+0000,0,2000,238-95-7766
But Is It User Friendly?,popular_comp,1389,22.9500,7000.0000,16,8780,"A survey of software for the naive user, focusing on the 'friendliness' of each.",1991-06-30T00:00:00.000+0000,2001,3000,238-95-7766
But Is It User Friendly?,popular_comp,1389,22.9500,7000.0000,16,8780,"A survey of software for the naive user, focusing on the 'friendliness' of each.",1991-06-30T00:00:00.000+0000,3001,4000,238-95-7766
But Is It User Friendly?,popular_comp,1389,22.9500,7000.0000,16,8780,"A survey of software for the naive user, focusing on the 'friendliness' of each.",1991-06-30T00:00:00.000+0000,4001,10000,238-95-7766
But Is It User Friendly?,popular_comp,1389,22.9500,7000.0000,16,8780,"A survey of software for the naive user, focusing on the 'friendliness' of each.",1991-06-30T00:00:00.000+0000,10001,50000,238-95-7766
Secrets of Silicon Valley,popular_comp,1389,20.0000,8000.0000,10,4095,Muckraking reporting on the world's largest computer hardware and software manufacturers.,1994-06-12T00:00:00.000+0000,0,5000,427-17-2319
Secrets of Silicon Valley,popular_comp,1389,20.0000,8000.0000,10,4095,Muckraking reporting on the world's largest computer hardware and software manufacturers.,1994-06-12T00:00:00.000+0000,5001,10000,427-17-2319
Secrets of Silicon Valley,popular_comp,1389,20.0000,8000.0000,10,4095,Muckraking reporting on the world's largest computer hardware and software manufacturers.,1994-06-12T00:00:00.000+0000,10001,15000,427-17-2319
Secrets of Silicon Valley,popular_comp,1389,20.0000,8000.0000,10,4095,Muckraking reporting on the world's largest computer hardware and software manufacturers.,1994-06-12T00:00:00.000+0000,15001,50000,427-17-2319
Secrets of Silicon Valley,popular_comp,1389,20.0000,8000.0000,10,4095,Muckraking reporting on the world's largest computer hardware and software manufacturers.,1994-06-12T00:00:00.000+0000,0,5000,846-92-7186
Secrets of Silicon Valley,popular_comp,1389,20.0000,8000.0000,10,4095,Muckraking reporting on the world's largest computer hardware and software manufacturers.,1994-06-12T00:00:00.000+0000,5001,10000,846-92-7186
Secrets of Silicon Valley,popular_comp,1389,20.0000,8000.0000,10,4095,Muckraking reporting on the world's largest computer hardware and software manufacturers.,1994-06-12T00:00:00.000+0000,10001,15000,846-92-7186
Secrets of Silicon Valley,popular_comp,1389,20.0000,8000.0000,10,4095,Muckraking reporting on the world's largest computer hardware and software manufacturers.,1994-06-12T00:00:00.000+0000,15001,50000,846-92-7186
Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology  ,0877,21.5900,7000.0000,10,375,"A must for the specialist, this book examines the difference between those who hate and fear computers and those who don't.",1991-10-21T00:00:00.000+0000,0,10000,724-80-9391
Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology  ,0877,21.5900,7000.0000,10,375,"A must for the specialist, this book examines the difference between those who hate and fear computers and those who don't.",1991-10-21T00:00:00.000+0000,10001,20000,724-80-9391
Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology  ,0877,21.5900,7000.0000,10,375,"A must for the specialist, this book examines the difference between those who hate and fear computers and those who don't.",1991-10-21T00:00:00.000+0000,20001,30000,724-80-9391
Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology  ,0877,21.5900,7000.0000,10,375,"A must for the specialist, this book examines the difference between those who hate and fear computers and those who don't.",1991-10-21T00:00:00.000+0000,30001,40000,724-80-9391
Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology  ,0877,21.5900,7000.0000,10,375,"A must for the specialist, this book examines the difference between those who hate and fear computers and those who don't.",1991-10-21T00:00:00.000+0000,40001,50000,724-80-9391
Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology  ,0877,21.5900,7000.0000,10,375,"A must for the specialist, this book examines the difference between those who hate and fear computers and those who don't.",1991-10-21T00:00:00.000+0000,0,10000,756-30-7391
Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology  ,0877,21.5900,7000.0000,10,375,"A must for the specialist, this book examines the difference between those who hate and fear computers and those who don't.",1991-10-21T00:00:00.000+0000,10001,20000,756-30-7391
Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology  ,0877,21.5900,7000.0000,10,375,"A must for the specialist, this book examines the difference between those who hate and fear computers and those who don't.",1991-10-21T00:00:00.000+0000,20001,30000,756-30-7391
Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology  ,0877,21.5900,7000.0000,10,375,"A must for the specialist, this book examines the difference between those who hate and fear computers and those who don't.",1991-10-21T00:00:00.000+0000,30001,40000,756-30-7391
Computer Phobic AND Non-Phobic Individuals: Behavior Variations,psychology  ,0877,21.5900,7000.0000,10,375,"A must for the specialist, this book examines the difference between those who hate and fear computers and those who don't.",1991-10-21T00:00:00.000+0000,40001,50000,756-30-7391
Is Anger the Enemy?,psychology  ,0736,10.9500,2275.0000,12,2045,Carefully researched study of the effects of strong emotions on the body. Metabolic charts included.,1991-06-15T00:00:00.000+0000,0,1000,899-46-2035
Is Anger the Enemy?,psychology  ,0736,10.9500,2275.0000,12,2045,Carefully researched study of the effects of strong emotions on the body. Metabolic charts included.,1991-06-15T00:00:00.000+0000,1001,5000,899-46-2035
Is Anger the Enemy?,psychology  ,0736,10.9500,2275.0000,12,2045,Carefully researched study of the effects of strong emotions on the body. Metabolic charts included.,1991-06-15T00:00:00.000+0000,5001,10000,899-46-2035
Is Anger the Enemy?,psychology  ,0736,10.9500,2275.0000,12,2045,Carefully researched study of the effects of strong emotions on the body. Metabolic charts included.,1991-06-15T00:00:00.000+0000,10001,50000,899-46-2035
Is Anger the Enemy?,psychology  ,0736,10.9500,2275.0000,12,2045,Carefully researched study of the effects of strong emotions on the body. Metabolic charts included.,1991-06-15T00:00:00.000+0000,0,1000,998-72-3567
Is Anger the Enemy?,psychology  ,0736,10.9500,2275.0000,12,2045,Carefully researched study of the effects of strong emotions on the body. Metabolic charts included.,1991-06-15T00:00:00.000+0000,1001,5000,998-72-3567
Is Anger the Enemy?,psychology  ,0736,10.9500,2275.0000,12,2045,Carefully researched study of the effects of strong emotions on the body. Metabolic charts included.,1991-06-15T00:00:00.000+0000,5001,10000,998-72-3567
Is Anger the Enemy?,psychology  ,0736,10.9500,2275.0000,12,2045,Carefully researched study of the effects of strong emotions on the body. Metabolic charts included.,1991-06-15T00:00:00.000+0000,10001,50000,998-72-3567
Life Without Fear,psychology  ,0736,7.0000,6000.0000,10,111,"New exercise, meditation, and nutritional techniques that can reduce the shock of daily interactions. Popular audience. Sample menus included, exercise video available separately.",1991-10-05T00:00:00.000+0000,0,2000,998-72-3567
Life Without Fear,psychology  ,0736,7.0000,6000.0000,10,111,"New exercise, meditation, and nutritional techniques that can reduce the shock of daily interactions. Popular audience. Sample menus included, exercise video available separately.",1991-10-05T00:00:00.000+0000,2001,5000,998-72-3567
Life Without Fear,psychology  ,0736,7.0000,6000.0000,10,111,"New exercise, meditation, and nutritional techniques that can reduce the shock of daily interactions. Popular audience. Sample menus included, exercise video available separately.",1991-10-05T00:00:00.000+0000,5001,10000,998-72-3567
Life Without Fear,psychology  ,0736,7.0000,6000.0000,10,111,"New exercise, meditation, and nutritional techniques that can reduce the shock of daily interactions. Popular audience. Sample menus included, exercise video available separately.",1991-10-05T00:00:00.000+0000,10001,50000,998-72-3567
Prolonged Data Deprivation: Four Case Studies,psychology  ,0736,19.9900,2000.0000,10,4072,What happens when the data runs dry?  Searching evaluations of information-shortage effects.,1991-06-12T00:00:00.000+0000,0,5000,172-32-1176
Prolonged Data Deprivation: Four Case Studies,psychology  ,0736,19.9900,2000.0000,10,4072,What happens when the data runs dry?  Searching evaluations of information-shortage effects.,1991-06-12T00:00:00.000+0000,5001,10000,172-32-1176
Prolonged Data Deprivation: Four Case Studies,psychology  ,0736,19.9900,2000.0000,10,4072,What happens when the data runs dry?  Searching evaluations of information-shortage effects.,1991-06-12T00:00:00.000+0000,10001,15000,172-32-1176
Prolonged Data Deprivation: Four Case Studies,psychology  ,0736,19.9900,2000.0000,10,4072,What happens when the data runs dry?  Searching evaluations of information-shortage effects.,1991-06-12T00:00:00.000+0000,15001,50000,172-32-1176
Emotional Security: A New Algorithm,psychology  ,0736,7.9900,4000.0000,10,3336,Protecting yourself and your loved ones from undue emotional stress in the modern world. Use of computer and nutritional aids emphasized.,1991-06-12T00:00:00.000+0000,0,5000,486-29-1786
Emotional Security: A New Algorithm,psychology  ,0736,7.9900,4000.0000,10,3336,Protecting yourself and your loved ones from undue emotional stress in the modern world. Use of computer and nutritional aids emphasized.,1991-06-12T00:00:00.000+0000,5001,50000,486-29-1786
"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",trad_cook   ,0877,20.9500,7000.0000,10,375,"Profusely illustrated in color, this makes a wonderful gift book for a cuisine-oriented friend.",1991-10-21T00:00:00.000+0000,0,2000,807-91-6654
"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",trad_cook   ,0877,20.9500,7000.0000,10,375,"Profusely illustrated in color, this makes a wonderful gift book for a cuisine-oriented friend.",1991-10-21T00:00:00.000+0000,2001,4000,807-91-6654
"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",trad_cook   ,0877,20.9500,7000.0000,10,375,"Profusely illustrated in color, this makes a wonderful gift book for a cuisine-oriented friend.",1991-10-21T00:00:00.000+0000,4001,6000,807-91-6654
"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",trad_cook   ,0877,20.9500,7000.0000,10,375,"Profusely illustrated in color, this makes a wonderful gift book for a cuisine-oriented friend.",1991-10-21T00:00:00.000+0000,6001,8000,807-91-6654
"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",trad_cook   ,0877,20.9500,7000.0000,10,375,"Profusely illustrated in color, this makes a wonderful gift book for a cuisine-oriented friend.",1991-10-21T00:00:00.000+0000,8001,10000,807-91-6654
"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",trad_cook   ,0877,20.9500,7000.0000,10,375,"Profusely illustrated in color, this makes a wonderful gift book for a cuisine-oriented friend.",1991-10-21T00:00:00.000+0000,10001,12000,807-91-6654
"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",trad_cook   ,0877,20.9500,7000.0000,10,375,"Profusely illustrated in color, this makes a wonderful gift book for a cuisine-oriented friend.",1991-10-21T00:00:00.000+0000,12001,14000,807-91-6654
"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean",trad_cook   ,0877,20.9500,7000.0000,10,375,"Profusely illustrated in color, this makes a wonderful gift book for a cuisine-oriented friend.",1991-10-21T00:00:00.000+0000,14001,50000,807-91-6654
Fifty Years in Buckingham Palace Kitchens,trad_cook   ,0877,11.9500,4000.0000,14,15096,"More anecdotes from the Queen's favorite cook describing life among English royalty. Recipes, techniques, tender vignettes.",1991-06-12T00:00:00.000+0000,0,2000,648-92-1872
Fifty Years in Buckingham Palace Kitchens,trad_cook   ,0877,11.9500,4000.0000,14,15096,"More anecdotes from the Queen's favorite cook describing life among English royalty. Recipes, techniques, tender vignettes.",1991-06-12T00:00:00.000+0000,2001,8000,648-92-1872
Fifty Years in Buckingham Palace Kitchens,trad_cook   ,0877,11.9500,4000.0000,14,15096,"More anecdotes from the Queen's favorite cook describing life among English royalty. Recipes, techniques, tender vignettes.",1991-06-12T00:00:00.000+0000,8001,16000,648-92-1872
Fifty Years in Buckingham Palace Kitchens,trad_cook   ,0877,11.9500,4000.0000,14,15096,"More anecdotes from the Queen's favorite cook describing life among English royalty. Recipes, techniques, tender vignettes.",1991-06-12T00:00:00.000+0000,16001,24000,648-92-1872
Fifty Years in Buckingham Palace Kitchens,trad_cook   ,0877,11.9500,4000.0000,14,15096,"More anecdotes from the Queen's favorite cook describing life among English royalty. Recipes, techniques, tender vignettes.",1991-06-12T00:00:00.000+0000,24001,32000,648-92-1872
Fifty Years in Buckingham Palace Kitchens,trad_cook   ,0877,11.9500,4000.0000,14,15096,"More anecdotes from the Queen's favorite cook describing life among English royalty. Recipes, techniques, tender vignettes.",1991-06-12T00:00:00.000+0000,32001,40000,648-92-1872
Fifty Years in Buckingham Palace Kitchens,trad_cook   ,0877,11.9500,4000.0000,14,15096,"More anecdotes from the Queen's favorite cook describing life among English royalty. Recipes, techniques, tender vignettes.",1991-06-12T00:00:00.000+0000,40001,50000,648-92-1872
"Sushi, Anyone?",trad_cook   ,0877,14.9900,8000.0000,10,4095,Detailed instructions on how to make authentic Japanese sushi in your spare time.,1991-06-12T00:00:00.000+0000,0,5000,267-41-2394
"Sushi, Anyone?",trad_cook   ,0877,14.9900,8000.0000,10,4095,Detailed instructions on how to make authentic Japanese sushi in your spare time.,1991-06-12T00:00:00.000+0000,5001,15000,267-41-2394
"Sushi, Anyone?",trad_cook   ,0877,14.9900,8000.0000,10,4095,Detailed instructions on how to make authentic Japanese sushi in your spare time.,1991-06-12T00:00:00.000+0000,15001,50000,267-41-2394
"Sushi, Anyone?",trad_cook   ,0877,14.9900,8000.0000,10,4095,Detailed instructions on how to make authentic Japanese sushi in your spare time.,1991-06-12T00:00:00.000+0000,0,5000,472-27-2349
"Sushi, Anyone?",trad_cook   ,0877,14.9900,8000.0000,10,4095,Detailed instructions on how to make authentic Japanese sushi in your spare time.,1991-06-12T00:00:00.000+0000,5001,15000,472-27-2349
"Sushi, Anyone?",trad_cook   ,0877,14.9900,8000.0000,10,4095,Detailed instructions on how to make authentic Japanese sushi in your spare time.,1991-06-12T00:00:00.000+0000,15001,50000,472-27-2349
"Sushi, Anyone?",trad_cook   ,0877,14.9900,8000.0000,10,4095,Detailed instructions on how to make authentic Japanese sushi in your spare time.,1991-06-12T00:00:00.000+0000,0,5000,672-71-3249
"Sushi, Anyone?",trad_cook   ,0877,14.9900,8000.0000,10,4095,Detailed instructions on how to make authentic Japanese sushi in your spare time.,1991-06-12T00:00:00.000+0000,5001,15000,672-71-3249
"Sushi, Anyone?",trad_cook   ,0877,14.9900,8000.0000,10,4095,Detailed instructions on how to make authentic Japanese sushi in your spare time.,1991-06-12T00:00:00.000+0000,15001,50000,672-71-3249
